                                                                                   Error Summary by Conference                                                                                   
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Conference      ┃ Error Parsing JSON ┃ Input mismatch ┃ Missing LLM Output ┃ Missing aff ┃ Success Rate         ┃ Tokens per Paper ┃ completion_tokens ┃ prompt_tokens    ┃ total_tokens      ┃
│ affiliations-55 │ 44 (0.04%)         │ 0 (0.00%)      │ 20132 (20.39%)     │ 7 (0.01%)   │ 78571/98747 (79.57%) │ 13.13 (100.00%)  │ 126992 (9.80%)    │ 1169070 (90.20%) │ 1296062 (100.00%) │
│ affiliations-56 │ 46 (0.05%)         │ 0 (0.00%)      │ 18591 (18.83%)     │ 7 (0.01%)   │ 80110/98747 (81.13%) │ 13.13 (100.00%)  │ 126826 (9.78%)    │ 1169499 (90.22%) │ 1296325 (100.00%) │
│ affiliations-57 │ 47 (0.05%)         │ 0 (0.00%)      │ 17049 (17.27%)     │ 7 (0.01%)   │ 81651/98747 (82.69%) │ 13.07 (100.00%)  │ 123435 (9.57%)    │ 1167051 (90.43%) │ 1290486 (100.00%) │
│ affiliations-58 │ 50 (0.05%)         │ 0 (0.00%)      │ 15509 (15.71%)     │ 7 (0.01%)   │ 83188/98747 (84.24%) │ 13.14 (100.00%)  │ 127044 (9.79%)    │ 1170369 (90.21%) │ 1297413 (100.00%) │
│ affiliations-59 │ 50 (0.05%)         │ 0 (0.00%)      │ 13970 (14.15%)     │ 7 (0.01%)   │ 84727/98747 (85.80%) │ 13.15 (100.00%)  │ 129210 (9.95%)    │ 1169215 (90.05%) │ 1298425 (100.00%) │
│ affiliations-6  │ 51 (0.05%)         │ 0 (0.00%)      │ 12429 (12.59%)     │ 7 (0.01%)   │ 86267/98747 (87.36%) │ 13.11 (100.00%)  │ 127040 (9.81%)    │ 1167661 (90.19%) │ 1294701 (100.00%) │
│ affiliations-60 │ 51 (0.05%)         │ 0 (0.00%)      │ 10888 (11.03%)     │ 7 (0.01%)   │ 87808/98747 (88.92%) │ 13.16 (100.00%)  │ 129480 (9.97%)    │ 1169731 (90.03%) │ 1299211 (100.00%) │
│ affiliations-61 │ 52 (0.05%)         │ 0 (0.00%)      │ 9348 (9.47%)       │ 8 (0.01%)   │ 89347/98747 (90.48%) │ 13.15 (100.00%)  │ 128785 (9.92%)    │ 1170065 (90.08%) │ 1298850 (100.00%) │
│ affiliations-62 │ 52 (0.05%)         │ 0 (0.00%)      │ 7805 (7.90%)       │ 8 (0.01%)   │ 90890/98747 (92.04%) │ 13.12 (100.00%)  │ 126642 (9.77%)    │ 1169059 (90.23%) │ 1295701 (100.00%) │
│ affiliations-63 │ 53 (0.05%)         │ 0 (0.00%)      │ 6263 (6.34%)       │ 8 (0.01%)   │ 92431/98747 (93.60%) │ 13.10 (100.00%)  │ 124937 (9.66%)    │ 1168931 (90.34%) │ 1293868 (100.00%) │
│ affiliations-64 │ 54 (0.05%)         │ 0 (0.00%)      │ 4721 (4.78%)       │ 8 (0.01%)   │ 93972/98747 (95.16%) │ 13.07 (100.00%)  │ 122302 (9.48%)    │ 1168332 (90.52%) │ 1290634 (100.00%) │
│ affiliations-7  │ 57 (0.06%)         │ 0 (0.00%)      │ 3181 (3.22%)       │ 8 (0.01%)   │ 95509/98747 (96.72%) │ 13.13 (100.00%)  │ 127604 (9.84%)    │ 1168861 (90.16%) │ 1296465 (100.00%) │
│ affiliations-8  │ 60 (0.06%)         │ 0 (0.00%)      │ 1641 (1.66%)       │ 8 (0.01%)   │ 97046/98747 (98.28%) │ 13.13 (100.00%)  │ 127593 (9.84%)    │ 1169088 (90.16%) │ 1296681 (100.00%) │
│ affiliations-9  │ 60 (0.06%)         │ 0 (0.00%)      │ 100 (0.10%)        │ 8 (0.01%)   │ 98587/98747 (99.84%) │ 13.13 (100.00%)  │ 128733 (9.93%)    │ 1168127 (90.07%) │ 1296860 (100.00%) │
└─────────────────┴────────────────────┴────────────────┴────────────────────┴─────────────┴──────────────────────┴──────────────────┴───────────────────┴──────────────────┴───────────────────┘

Total tokens used: 83044392  ( 83.044392 M)
Total min similarity changed records (lower the better): 0
